type,key,value,extra1,extra2,extra3
# Common Ground Award — structured CSV prospectus
# Based on refs/common-ground-award-prospectus.md
# Use this as an example of the expected CSV format for the grant import feature.
#
# meta rows: grant-level metadata
meta,name,Common Ground Award,,,
meta,slug,common-ground-award,,,
meta,summary,A £1.7m capital grant scheme supporting VCSE organisations in England that build bridging social capital across different communities.,,,
meta,contact_email,commonground@communities.gov.uk,,,
meta,total_budget,1700000,,,
meta,duration_years,1,,,
meta,revenue_min,,,,
meta,revenue_max,,,,
meta,capital_min,1000,,,
meta,capital_max,10000,,,
meta,opens_on,2025-11-01,,,
meta,closes_on,2025-11-30,,,
#
# eligibility rows: pass/fail rules
# value = rule type (in|equals|max|min)
# extra1 = threshold or pipe-separated allowed values
# extra2 = human-readable rule label
eligibility,org_type,in,charity|CIO|CIC|CBS|unincorporated_association,Organisation must be a VCSE with charitable/benevolent/philanthropic purposes based in England,
eligibility,operates_in_england,equals,true,Organisation must have a base and operate in England,
eligibility,is_profit_distributing,equals,false,Profit-distributing organisations are not eligible,
eligibility,is_public_sector,equals,false,Local authorities and other public sector bodies are not eligible,
eligibility,is_individual,equals,false,Individuals cannot apply,
#
# criterion rows: scoring criteria
# value = criterion label
# extra1 = weight (all weights must sum to 100)
# extra2 = max score (3)
# extra3 = auto_reject_on_zero (true|false)
criterion,strategic_alignment,Strategic alignment with programme objectives,25,3,true
criterion,community_engagement,Community engagement and bridging social capital,25,3,true
criterion,community_impact,Community impact and outcomes,25,3,true
criterion,sustainability,Sustainability of activities beyond the grant,12,3,false
criterion,use_of_funding,Use of capital funding and value for money,13,3,false
